"x","y","aspect","dem","ndvi","savi","slope","tpi","tri"
455695.294272271,8704691.81763343,4.5602126121521,3757,0.522247016429901,0.256875097751617,0.152443096041679,-16.25,18.75
456211.985758297,8703938.92362741,4.52580070495605,3656,0.437648832798004,0.234494149684906,0.0805326774716377,-15.375,16.625
461526.526757424,8707929.26185934,2.26125574111938,4443,0.375703811645508,0.211281225085258,0.313220918178558,-1.25,18.25
456211.985758297,8707778.68305813,4.40751886367798,4335,0.34982630610466,0.177860245108604,0.244403779506683,1.25,14.5
459681.200021616,8707703.39365753,4.72047090530396,4256,0.380347013473511,0.234752506017685,0.390535831451416,-1.75,23.25
454588.098230786,8706875.2102509,1.98198699951172,4180,0.331236928701401,0.159185692667961,0.578779220581055,4.875,38.375
455104.789716812,8708682.15586536,3.21521735191345,4353,0.507896542549133,0.28342816233635,0.181467175483704,-3.375,11.125
453407.089119869,8704240.08122982,4.62998914718628,3643,0.432411044836044,0.159786224365234,0.57409656047821,8,38
456211.985758297,8703788.3448262,0.0569234974682331,3719,0.2580486536026,0.179369553923607,0.535388588905334,2.625,34.375
455400.041994541,8712296.04709428,2.1844596862793,4469,0.321366369724274,0.184872761368752,0.185607463121414,-0.625,10.875
462559.909729476,8709585.62867259,1.79599380493164,4447,0.321801602840424,0.166940495371819,0.330148696899414,-3.25,19.5
